"V1","V2","V3","V4","V5"
1,1380,1,1328.91,1328.62408112959
2,1380,2,1328.78,1328.59647196494
3,1380,3,1328.43,1328.57143791906
4,1380,4,1328.35,1328.54885833795
5,1380,5,1328.01,1328.52861256755
6,1380,6,1327.88,1328.51057995383
7,1380,7,1328.11,1328.49463984277
8,1380,8,1328.13,1328.48067158033
9,1380,9,1328.69,1328.46855451248
10,1380,10,1329.16,1328.45816798518
11,1380,11,1328.6,1328.4493913444
12,1380,12,1329.03,1328.44210393611
13,1381,1,1329.57,1328.43618510627
14,1381,2,1329.6,1328.43151420085
15,1381,3,1328.97,1328.42797056582
16,1381,4,1328.3,1328.42543354715
17,1381,5,1328.02,1328.42378249079
18,1381,6,1327.85,1328.42289674272
19,1381,7,1327.69,1328.4226556489
20,1381,8,1327.69,1328.42293855531
21,1381,9,1328.16,1328.4236248079
22,1381,10,1328.19,1328.42459375265
23,1381,11,1328.07,1328.42572473552
24,1381,12,1328.32,1328.42689710248
25,1382,1,1328.65,1328.42799019949
26,1382,2,1328.8,1328.42888337252
27,1382,3,1328.9,1328.42945596754
28,1382,4,1328.38,1328.42958733051
29,1382,5,1328.02,1328.42915680741
30,1382,6,1327.76,1328.42804374419
31,1382,7,1327.71,1328.42612748683
32,1382,8,1327.74,1328.42328738129
33,1382,9,1328.33,1328.4194261999
34,1382,10,1328.27,1328.41454042044
35,1382,11,1328.7,1328.40864994705
36,1382,12,1329.31,1328.40177468386
37,1383,1,1329.1,1328.39393453502
38,1383,2,1329.4,1328.38514940466
39,1383,3,1329.35,1328.37543919693
40,1383,4,1328.5,1328.36482381596
41,1383,5,1328.15,1328.35332316589
42,1383,6,1327.85,1328.34095715087
43,1383,7,1327.8,1328.32774567502
44,1383,8,1327.88,1328.3137086425
45,1383,9,1328.2,1328.29886595744
46,1383,10,1328.08,1328.28323752397
47,1383,11,1328.32,1328.26684324625
48,1383,12,1328.72,1328.2497030284
49,1384,1,1328.68,1328.23183677457
50,1384,2,1329.22,1328.2132643889
51,1384,3,1328.64,1328.19400577552
52,1384,4,1328,1328.17408083858
53,1384,5,1328.08,1328.15350948221
54,1384,6,1327.57,1328.13231161056
55,1384,7,1327.44,1328.11050712776
56,1384,8,1327.53,1328.08811593795
57,1384,9,1327.57,1328.06515794528
58,1384,10,1327.68,1328.04165305387
59,1384,11,1327.62,1328.01762116788
60,1384,12,1328.4,1327.99308219143
61,1385,1,1328.44,1327.96805602868
62,1385,2,1328.51,1327.94256258375
63,1385,3,1328.23,1327.91662176079
64,1385,4,1327.75,1327.89025346394
65,1385,5,1327.66,1327.86347777836
66,1385,6,1327.34,1327.83631551336
67,1385,7,1327.28,1327.80878765925
68,1385,8,1327.5,1327.78091520638
69,1385,9,1327.57,1327.75271914505
70,1385,10,1327.7,1327.7242204656
71,1385,11,1328.14,1327.69544015836
72,1385,12,1327.72,1327.66639921364
73,1386,1,1327.81,1327.63711862179
74,1386,2,1328.4,1327.60761937312
75,1386,3,1328.08,1327.57792245795
76,1386,4,1327.61,1327.54804886663
77,1386,5,1327.42,1327.51801958947
78,1386,6,1327.28,1327.48785561679
79,1386,7,1327.18,1327.45757793894
80,1386,8,1327.13,1327.42720754622
81,1386,9,1327.48,1327.39676542898
